minute,country,nb_anomalies,total_amount
2025-12-02T22:47:00.000+01:00,IR,11,64256.11
2025-12-02T22:47:00.000+01:00,IT,6,39779.1
2025-12-02T22:47:00.000+01:00,RU,15,65589.14
2025-12-02T22:48:00.000+01:00,DE,7,51264.21000000001
2025-12-02T22:48:00.000+01:00,ES,2,14267.24
2025-12-02T22:48:00.000+01:00,FR,3,22582.350000000002
2025-12-02T22:48:00.000+01:00,IR,12,59865.03
2025-12-02T22:48:00.000+01:00,IT,2,14338.539999999999
2025-12-02T22:48:00.000+01:00,RU,10,43455.77
2025-12-02T22:49:00.000+01:00,DE,4,24341.21
2025-12-02T22:49:00.000+01:00,ES,2,18691.39
2025-12-02T22:49:00.000+01:00,FR,3,22354.370000000003
2025-12-02T22:49:00.000+01:00,IR,7,19249.59
2025-12-02T22:49:00.000+01:00,IT,8,63888.869999999995
2025-12-02T22:49:00.000+01:00,RU,11,58055.79000000001
2025-12-02T22:50:00.000+01:00,DE,2,16859.85
2025-12-02T22:50:00.000+01:00,ES,4,32727.87
2025-12-02T22:50:00.000+01:00,FR,8,53383.66
2025-12-02T22:50:00.000+01:00,IR,4,19928.29
2025-12-02T22:50:00.000+01:00,IT,6,48514.799999999996
2025-12-02T22:50:00.000+01:00,RU,14,73302.0
2025-12-02T22:51:00.000+01:00,DE,5,33796.95
2025-12-02T22:51:00.000+01:00,ES,2,15596.4
2025-12-02T22:51:00.000+01:00,FR,5,40455.97
2025-12-02T22:51:00.000+01:00,IR,13,80735.44
2025-12-02T22:51:00.000+01:00,IT,7,54269.439999999995
2025-12-02T22:51:00.000+01:00,RU,9,35882.71
2025-12-02T22:52:00.000+01:00,DE,4,35644.75
2025-12-02T22:52:00.000+01:00,ES,6,43940.159999999996
2025-12-02T22:52:00.000+01:00,FR,5,38128.33
2025-12-02T22:52:00.000+01:00,IR,6,35945.10999999999
2025-12-02T22:52:00.000+01:00,IT,5,37375.55
2025-12-02T22:52:00.000+01:00,RU,7,54480.12
2025-12-02T22:53:00.000+01:00,DE,7,45858.240000000005
2025-12-02T22:53:00.000+01:00,ES,4,25988.71
2025-12-02T22:53:00.000+01:00,FR,5,38846.29
2025-12-02T22:53:00.000+01:00,IR,6,28742.469999999998
2025-12-02T22:53:00.000+01:00,IT,5,41183.93
2025-12-02T22:53:00.000+01:00,RU,10,48113.14
2025-12-02T22:54:00.000+01:00,DE,4,30357.18
2025-12-02T22:54:00.000+01:00,ES,3,20466.54
2025-12-02T22:54:00.000+01:00,FR,6,41153.25
2025-12-02T22:54:00.000+01:00,IR,13,58541.61000000001
2025-12-02T22:54:00.000+01:00,IT,3,23057.660000000003
2025-12-02T22:54:00.000+01:00,RU,14,83466.22000000002
